time_min,distance,name,sex,flag_finished,last_distance,last_time,distance_diff_m,rank
2.0,0.3918751224609757,Jacob Riley,M,0,18.0,94.57966666666667,-13.545247661404229,72.0
2.0,0.38081939640125667,Jacob Shiohira,M,1,26.2,139.41766666666666,-31.33391089149218,123.0
2.0,0.3999200159968006,Jacob Thomson,M,0,16.0,81.13516666666666,-0.6010139622619936,7.0
2.0,0.3789792824658919,Jake Ritter,M,1,26.2,142.95366666666666,-34.294654213494084,130.0
2.0,0.3628666465074085,Jakob Kintzele,M,1,26.2,161.93916666666667,-60.21988547069386,192.0
2.0,0.3927215604136667,James Quattlebaum,M,0,24.0,129.38299999999998,-12.183328995524475,66.0
2.0,0.36902638538655513,James Withers,M,1,26.2,142.518,-50.30886561414695,158.0
2.0,0.3663898387884709,Jarrod Ottman,M,1,26.2,148.50799999999998,-54.55106909046445,167.0
2.0,0.3779170472081379,Jason Salyer,M,0,17.0,93.45100000000001,-36.00379074322028,133.0
2.0,0.3851091142490372,Jason Weitzel,M,1,26.2,149.42883333333333,-24.431754874413294,101.0
2.0,0.3978516013526954,Jerod Broadbooks,M,1,26.2,136.32266666666666,-3.9290931246272227,45.0
2.0,0.368425900340794,Jesse Davis,M,1,26.2,144.27833333333334,-51.27504605277666,160.0
2.0,0.36748943467875295,Jesse Joseph,M,1,26.2,141.69683333333333,-52.781819303000674,162.0
2.0,0.39929457957608233,Joel Reichow,M,1,26.2,136.605,-1.6073411631976944,17.0
2.0,0.3632510973210232,John Dewitt,M,1,26.2,139.26316666666668,-59.60130411158788,187.0
2.0,0.399480675122341,John Flavin,M,0,21.0,106.48166666666665,-1.3079134292675318,15.0
2.0,0.3850967555598344,John McGowan,M,1,26.2,143.89233333333334,-24.451640005340593,103.0
2.0,0.3970354685018528,John Raneri,M,0,21.0,120.03,-5.242250881633036,54.0
2.0,0.3634381246592768,Johnny Hogue,M,1,26.2,150.77516666666668,-59.300377124337835,186.0
2.0,0.36483035388544327,Johnny Rutford,M,1,26.2,143.60566666666668,-57.060280299435945,179.0
2.0,0.39789117676315533,Jonas Hampton,M,0,18.0,94.80866666666667,-3.86541628919724,42.0
2.0,0.38152163545607737,Jonathan Aziz,M,1,26.2,137.8311666666667,-30.20400825228568,122.0
2.0,0.36744442403086536,Jonathan Mott,M,1,26.2,143.31283333333334,-52.854241435451804,163.0
2.0,0.38763446070355656,Jonathan Phillips,M,1,26.2,137.80116666666666,-20.36847242909166,82.0
2.0,0.36390101892285304,Joost Plaetinck,M,1,26.2,142.31266666666667,-58.55558025424363,184.0
2.0,0.3797588531282636,Jordan Daniel,M,1,26.2,142.41266666666667,-33.04032501773808,126.0
2.0,0.3922850604772802,Joseph Trojan,M,1,26.2,146.12283333333335,-12.885657393170359,70.0
2.0,0.3831784653702462,Joseph Whelan,M,1,26.2,142.6165,-27.538168920388046,117.0
2.0,0.39495770661225027,Josh Izewski,M,1,26.2,131.137,-8.58536976200348,62.0
2.0,0.3989759616983077,Joshua Kalapos,M,1,26.2,134.4195,-2.119997328537109,21.0
2.0,0.3847140292382662,Julian Heninger,M,1,26.2,136.74483333333333,-25.067446656743854,109.0
2.0,0.36072867191727287,Kevin Colon,M,1,26.2,165.15050000000002,-63.65988658622212,199.0
2.0,0.3873216706474727,Kevin Havel,M,0,10.0,53.60366666666666,-20.871751629330603,86.0
2.0,0.38945865247306244,Kevin Koski,M,1,26.2,140.556,-17.433347871956702,77.0
2.0,0.392695857058708,Kevin Lewis,M,1,26.2,156.5618333333333,-12.224685693652962,67.0
2.0,0.3973904692519124,Kevin Lynch,M,0,16.0,85.50266666666667,-4.671054674787108,50.0
2.0,0.3698224852071006,Kevin McDonnell,M,1,26.2,140.1595,-49.027941002889314,155.0
2.0,0.39968025579536365,Kevin Salvano,M,1,26.2,143.20733333333334,-0.9867881263740557,11.0
2.0,0.3650079085046843,Kevin Wood,M,0,21.0,117.29533333333333,-56.774594917077145,175.0
2.0,0.3853935831968398,Kristoffer Mugrage,M,0,22.0,120.07766666666666,-23.97404433739892,100.0
2.0,0.3664010259228726,Kurt Roeser,M,1,26.2,150.90433333333334,-54.53306899121215,166.0
2.0,0.3988433542726094,Leonard Korir,M,1,26.2,129.9425,-2.3333626764856117,26.0
2.0,0.38780984390653783,Louis Serafini,M,1,26.2,137.13916666666668,-20.086280855494792,81.0
