,time,point,label,pid,bib,bib_display,tag,name,timeOfDay,epochTime,milePace,milePaceAvg,mph,kmPace,kmPaceAvg,kmh,etnp,etfp,startTime,sex,profile_color,_ver,alias,pace,paceAvg,splitTime,netTime,waveTime,course,country,country_iso,city,timestamp,i,u,place,leaderDiff,profile_pic,team,placeChange,isFinish,distance
32,00:05:01.20,1M,1M,RGZSKBHY,469,469,00469,Ben Olson,10:15:00 am,1706973299.89,05:02,05:02,11.95,03:08,03:08,19.23,2M~00:10:02~10:19 am,FINISH~02:18:13~12:28 pm,10:09:59 am,M,12,9,1M,05:02 min/mile,05:02 min/mile,00:05:01.20,00:05:01.20,00:05:01.20,marathon,USA,us,Coon Rapids,1706955299.89,1706973310_000165,1706984463_000107,,,,,,,1.0
33,00:05:01.37,1M,1M,RJKSN2FC,444,444,00444,Colin Mickow,10:15:01 am,1706973300.06,05:02,05:02,11.95,03:08,03:08,19.22,2M~00:10:01~10:19 am,FINISH~02:14:59~12:24 pm,10:09:59 am,M,11,8,1M,05:02 min/mile,05:02 min/mile,00:05:01.37,00:05:01.37,00:05:01.37,marathon,USA,us,Oswego,1706955300.06,1706973310_000098,1706981455_000425,24,+00:01.74,,,,,1.0
34,00:05:01.39,1M,1M,RGFLM6A2,562,562,00562,Weston Strum,10:15:01 am,1706973300.08,05:02,05:02,11.94,03:08,03:08,19.22,2M~00:10:00~10:19 am,FINISH~02:18:53~12:28 pm,10:09:59 am,M,3,6,1M,05:02 min/mile,05:02 min/mile,00:05:01.39,00:05:01.39,00:05:01.39,marathon,USA,us,San Francisco,1706955300.08,1706973310_000229,1706973310_000230,25,+00:01.76,,Tracksmith,,,1.0
35,00:05:01.45,1M,1M,RPGNED2B,428,428,00428,Colin Bennie,10:15:01 am,1706973300.14,05:02,05:02,11.94,03:08,03:08,19.22,2M~00:10:02~10:20 am,FINISH~02:12:17~12:22 pm,10:09:59 am,M,16,15,1M,05:02 min/mile,05:02 min/mile,00:05:01.45,00:05:01.45,00:05:01.45,marathon,USA,us,San Francisco,1706955300.14,1706973310_000119,1706981225_000142,26,+00:01.82,,Brooks,,,1.0
36,00:05:01.45,1M,1M,RGNTK97Y,416,416,00416,Biya Simbassa,10:15:01 am,1706973300.14,05:02,05:02,11.94,03:08,03:08,19.22,2M~00:10:01~10:19 am,FINISH~02:12:21~12:22 pm,10:09:59 am,M,12,17,1M,05:02 min/mile,05:02 min/mile,00:05:01.45,00:05:01.45,00:05:01.45,marathon,USA,us,Flagstaff,1706955300.14,1706973310_000122,1706981250_000356,27,+00:01.82,/_imgss/events/ORLANDO-TRIALS-2024/roster/1706760505_abbabiya-simbassa-731.jpeg?v=17,Under Armour,,,1.0
37,00:05:01.46,1M,1M,R8UW3T9G,490,490,00490,Aaron Davidson,10:15:01 am,1706973300.15,05:02,05:02,11.94,03:08,03:08,19.22,2M~00:10:01~10:19 am,FINISH~02:19:57~12:29 pm,10:09:59 am,M,1,4,1M,05:02 min/mile,05:02 min/mile,00:05:01.46,00:05:01.46,00:05:01.46,marathon,USA,us,Flagstaff,1706955300.15,1706973310_000147,1706973311_000145,28,+00:01.83,,,,,1.0
38,00:05:01.49,1M,1M,RY6EH98C,408,408,00408,Zachery Panning,10:15:01 am,1706973300.18,05:02,05:02,11.94,03:08,03:08,19.22,2M~00:10:00~10:19 am,FINISH~02:10:50~12:20 pm,10:09:59 am,M,14,15,1M,05:02 min/mile,05:02 min/mile,00:05:01.49,00:05:01.49,00:05:01.49,marathon,USA,us,Lake Orion,1706955300.18,1706973310_000125,1706981144_000317,29,+00:01.86,/_imgss/events/ORLANDO-TRIALS-2024/roster/1706760011_zachery-panning-3594.jpg?v=15,Hansons-Brooks Distance Project,,,1.0
39,00:05:01.49,1M,1M,RN2C8VEF,434,434,00434,Shadrack Kipchirchir,10:15:01 am,1706973300.18,05:02,05:02,11.94,03:08,03:08,19.22,2M~00:10:01~10:19 am,FINISH~02:20:01~12:29 pm,10:09:59 am,M,1,16,1M,05:02 min/mile,05:02 min/mile,00:05:01.49,00:05:01.49,00:05:01.49,marathon,USA,us,Colorado Springs,1706955300.18,1706973310_000129,1706981725_000399,30,+00:01.86,/_imgss/events/ORLANDO-TRIALS-2024/roster/1706761806_shrack-kipchirchir-1190.jpg?v=16,PUMA,,,1.0
40,00:05:01.54,1M,1M,RZDU7HRJ,489,489,00489,Habtamu Cheney,10:15:01 am,1706973300.23,05:02,05:02,11.94,03:08,03:08,19.21,2M~00:10:02~10:19 am,FINISH~02:15:43~12:25 pm,10:09:59 am,M,13,16,1M,05:02 min/mile,05:02 min/mile,00:05:01.54,00:05:01.54,00:05:01.54,marathon,USA,us,Provo,1706955300.23,1706973310_000132,1706981495_000306,31,+00:01.91,,,,,1.0
41,00:05:01.59,1M,1M,RPG2TYUE,515,515,00515,Alex Norstrom,10:15:01 am,1706973300.28,05:02,05:02,11.94,03:08,03:08,19.21,2M~00:10:01~10:19 am,FINISH~02:21:59~12:31 pm,10:09:59 am,M,16,6,1M,05:02 min/mile,05:02 min/mile,00:05:01.59,00:05:01.59,00:05:01.59,marathon,USA,us,Rochester Hills,1706955300.28,1706973310_000092,1706973310_000093,32,+00:01.96,,Hansons-Brooks Distance Project,,,1.0
